LON,LAT,EDO,CLAVE,ESTACION,jun-25,,
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",319.6,,
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",783.2,,
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÇ, Chis. SGT*",761.4,,
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidromÇtrica, Chis. SGT*",487.3,,
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",745,,
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",788,,
-92.402778,14.997222,CHIS,HUECP,"Huehuet†n, Chis.",592.1,,
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt†n, Chis. SGT*",271.4,,
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",833.2,,
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",617.47,,
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",443,,
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",546.6,,
-92.715556,16.887778,CHIS,LARRAINZAR,"Larrainzar, Chis. SGT*",250,,
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",384,,
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",310.5,,
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",621.5,,
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",303.7,,
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",317.7,,
-93.598889,17.178611,CHIS,MALCP,"Nezahualc¢yotl, Chis.",227.4,,
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",273.3,,
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit†n, Chis.",320.7,,
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Crist¢bal, Chis.",361.3,,
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÇrrez, Chis.",398.61,,
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",460.6,,
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",738.2,,
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",392.61,,
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",327,,
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",333,,
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",575.4,,
-93.079167,16.158333,CHIS,REVCP,"Revoluci¢n Mexicana, Chis.",367.8,,
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",287.6,,
-92.603056,16.727222,CHIS,SCCASASCFE,"San Crist¢bal de las Casas, Chis. CFE*",236.6,,
-93.085,17.561111,CHIS,SJOCP,"San Joaqu°n, Chis.",427.1,,
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",619.3,,
-92.820833,16.938889,CHIS,SNACP,"Santa Mar°a, Chis.",284.7,,
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",243.8,,
-92.104167,15.031667,CHIS,SANTODOMINGO,"Santo Domingo, Chis. Protecci¢n Civil*",614.88,,
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",552.8,,
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",251.6,,
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",596.21,,
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",762.1,,
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",418.6,,
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",190,,
-93.381389,17.364167,CHIS,JGRIJALVACFE,"T£neles Juan de Grijalva, Chis. CFE*",443,,
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÇrrez Zoomat, Chis.",236.1,,
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",229.6,,
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",350.4,,
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",161.7,,
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",277.16,,
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",340.5,,
-92.147222,15.091111,CHIS,VTACANA,"Volc†n Tacan†, Chis. SMN*",624.1,,
-93.330556,17.116667,CHIS,YAMCP,"Yamonh¢, Chis.",307.61,,
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",9,,
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",6.02,,
-100.950278,29.327778,COAH,CDACL,"Ciudad Acu§a, Coah.",37,,
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",36.5,,
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÇnegas, Coah.",7.41,,
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",3,,
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",26,,
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",30.21,,
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",26.8,,
-103.266667,25.766667,COAH,MADCL,"Madero, Coah.",10.9,,
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",50.2,,
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",55.6,,
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",114.41,,
-103.45,25.541667,COAH,TORCL,"Observatorio de Torre¢n, Coah.",35.11,,
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",14.71,,
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",16.01,,
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",23.03,,
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",15,,
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",15.24,,
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",0,,
-100.920833,25.436111,COAH,ESLCL,"Secretar°a de Agricultura Saltillo, Coah.",57.41,,
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",21.8,,
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",12.51,,
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",152.54,,
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",274.4,,
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",138.75,,
-103.804167,19.2125,COL,CQMCM,"Coquimatl†n, Col.",156.22,,
-103.6,19.325,COL,CUACM,"CuauhtÇmoc, Col.",190.81,,
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",163.73,,
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",1.2,,
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",208.7,,
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",102.02,,
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",214.1,,
-104.057778,19.391667,COL,MINATITLAN,"Minatitl†n, Col. SMN*",175.3,,
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",474.4,,
-103.884444,19.111389,COL,DJLCM,"P. deriv. Gregorio T. Q. Jala, Col.",201.63,,
-103.8125,19.3275,COL,PNTCM,"P. deriv. Pe§itas, Col.",160.54,,
