Lon,Lat,Clave,Edo,Est,Tmed
-99.08,19.4,AGOSE,CDMX,AgrÌcola Oriental Cd. de MÈx. SGIRPC*,18.1
-99.14,19.55,CUAUTEPEC,CDMX,Cuautepec Cd. de MÈx. UNAM*,17.4
-99.26,19.36,SANSE,CDMX,Santa Ana Cd. de MÈx. SGIRPC*,14.8
-99.2,19.4,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,18.3
-99.15,19.43,SGISE,CDMX,SGIRPC Col Ju·rez Cd. de MÈx. SGIRPC*,18.0
-99.12,19.27,ENP1,CDMX,Escuela Nacional Preparatoria 1 Cd. de MÈx. UNAM*,18.5
-99.13,19.3,ENP5,CDMX,Escuela Nacional Preparatoria 5 Cd. de MÈx. UNAM*,17.9
-99.2,19.5,CCHA,CDMX,Colegio de Ciencias y Humanidades Azcapotzalco Cd. de MÈx. UNAM*,16.7
-99.21,19.27,AJMSE,CDMX,Ajusco Medio Cd. de MÈx. SGIRPC*,15.6
-99.2,19.33,PEDSE,CDMX,Pedregal Cd. de MÈx. SGIRPC*,17.1
-99.09,19.48,GAMSE,CDMX,Gustavo A. Madero Cd. de MÈx. SGIRPC*,18.4
-99.12,19.42,MERSE,CDMX,Merced Cd. de MÈx. SGIRPC*,18.7
-99.01,19.25,TAHSE,CDMX,Tl·huac Cd. de MÈx. SGIRPC*,17.2
-99.17,19.45,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,17.9
-99.1,19.3,UAXSE,CDMX,UAM Xochimilco Cd. de MÈx. SGIRPC*,18.0
-99.1,19.39,ENP2,CDMX,Escuela Nacional Preparatoria 2 Cd. de MÈx. UNAM*,18.5
-99.2,19.4,MGHSE,CDMX,Miguel Hidalgo Cd. de MÈx. SGIRPC*,18.2
-98.99,19.18,MPASE,CDMX,Milpa Alta Cd. de MÈx. SGIRPC*,16.1
-99.07,19.36,UIZSE,CDMX,UAM Iztapalapa Cd. de MÈx. SGIRPC*,19.1
-99.29,19.37,CUASE,CDMX,Cuajimalpa Cd. de MÈx. SGIRPC*,15.9
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,15.9
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,21.8
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,23.7
-107.91,27.22,URECH,CHIH,Urique Chih.,22.4
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,18.8
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,18.1
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,9.4
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,16.7
